都道府県,性別,年齢区分,下限値,上限値,人数
宮崎県,男性,55～59歳,0.0,35.0,342
宮崎県,男性,55～59歳,35.0,40.0,846
宮崎県,男性,55～59歳,40.0,inf,16210
鹿児島県,男性,55～59歳,0.0,35.0,502
鹿児島県,男性,55～59歳,35.0,40.0,1306
鹿児島県,男性,55～59歳,40.0,inf,24608
沖縄県,男性,55～59歳,0.0,35.0,425
沖縄県,男性,55～59歳,35.0,40.0,1112
沖縄県,男性,55～59歳,40.0,inf,19817
北海道,男性,60～64歳,0.0,35.0,1275
北海道,男性,60～64歳,35.0,40.0,3534
北海道,男性,60～64歳,40.0,inf,69748
青森県,男性,60～64歳,0.0,35.0,260
青森県,男性,60～64歳,35.0,40.0,760
青森県,男性,60～64歳,40.0,inf,20779
岩手県,男性,60～64歳,0.0,35.0,362
